0.979,0.021,0.0
0.892,0.108,0.0
0.779,0.221,0.0
0.672,0.328,0.0
0.574,0.427,0.0
0.48,0.521,0.0
0.41,0.592,0.0
0.319,0.683,0.0
0.208,0.774,0.021
0.135,0.762,0.108
0.055,0.733,0.221
0.02,0.661,0.328
0.007,0.575,0.427
0.002,0.486,0.521
0.001,0.416,0.592
0.001,0.325,0.683
0.001,0.213,0.795
0.001,0.138,0.87
0.001,0.054,0.954
0.001,0.019,0.989
0.001,0.006,1.002
0.001,0.001,1.007
0.001,0.0,1.008
0.001,0.0,1.008
0.001,0.0,1.008
